survived;name;result algo (0.78645);comparison;checked
0;"BEAUCHAMP, Mr Henry";0;1;1
0;"LINDEBERG-LIND, Mr Mr";0;1;1
0;"VANDER PLANKE, Mr Julius";0;1;1
0;"HILLIARD, Mr Herbert";1;0;1
0;"DAVIES, Mr Evan";0;1;1
0;"CRAFTON, Mr John";0;1;1
0;"LAHTINEN, Rev William";0;1;1
1;"EARNSHAW, Mrs Olive";1;1;
0;"MATINOFF, Mr Nicola";0;1;1
0;"STOREY, Mr Thomas";0;1;1
0;"KLASEN, Mrs Hulda";1;0;1
0;"ASPLUND, Master Filip";0;1;1
1;"DUQUEMIN, Mr Joseph";0;0;1
1;"BIRD, Miss Ellen";1;1;
1;"LUNDIN, Miss Olga";1;1;
0;"BOREBANK, Mr John";0;1;1
0;"PEACOCK, Mrs Edith";1;0;1
1;"SMYTH, Miss Julia";1;1;
1;"TOUMA, Master Georges";0;0;1
1;"WRIGHT, Miss Marion";1;1;
0;"PEARCE, Mr Ernest";0;1;1
0;"PERUSCHITZ, Rev Joseph";0;1;1
1;"KINK-HEILMANN, Mrs Luise";1;1;
0;"BRANDEIS, Mr Emil";0;1;1
0;"FORD, Mr Edward";0;1;1
1;"CASSEBEER, Mrs Eleanor";1;1;
1;"HELLSTROM, Miss Hilda";1;1;
0;"LITHMAN, Mr Simon";0;1;1
0;"ZAKARIAN, Mr Ortin";0;1;1
0;"DYKER, Mr Adolf";0;1;1
0;"TORFA, Mr Assad";0;1;1
0;"ASPLUND, Mr Carl";0;1;1
1;"BROWN, Miss Edith";1;1;
1;"SINCOCK, Miss Maude";1;1;
1;"STENGEL, Mr Charles";0;0;1
1;"BECKER, Mrs Nellie";1;1;
1;"COMPTON, Mrs Mary";1;1;
0;"MCCRIE, Mr James";0;1;1
0;"COMPTON, Mr Alexander";0;1;1
1;"MARVIN, Mrs Mary";1;1;
0;"LANE, Mr Patrick";0;1;1
1;"DOUGLAS, Mrs Mary";1;1;
0;"MAYBERY, Mr Frank";0;1;1
1;"PHILLIPS, Miss Alice";1;1;
0;"DAVIES, Mr Joseph";0;1;1
0;"SAGE, Miss Ada";0;1;1
0;"VEAL, Mr James";0;1;1
0;"ANGLE, Mr William";0;1;1
1;"SALOMON, Mr Abraham";0;0;1
0;"VAN BILLIARD, Master Walter";0;1;1
0;"LINGANE, Mr John";0;1;1
1;"DREW, Master Marshall";0;0;1
0;"KARLSSON, Mr Julius";0;1;1
1;"SPEDDEN, Master Robert";1;1;
1;"NILSSON, Miss Berta";1;1;
0;"BAIMBRIGGE, Mr Charles";0;1;1
0;"RASMUSSEN, Mrs Lena";1;0;1
1;"MURPHY, Miss Nora";1;1;
0;"DANBOM, Master Gilbert";1;0;1
0;"ASTOR, Col John";1;0;1
1;"QUICK, Miss Winifred";1;1;
0;"ANDREW, Mr Frank";0;1;1
1;"OMONT, Mr Alfred";0;0;1
0;"MCGOWAN, Miss Katherine";1;0;1
1;"COLLETT, Mr Sidney";0;0;1
1;"ROSENBAUM, Miss Edith";1;1;
0;"DELALIC, Mr Redjo";0;1;1
0;"ANDERSEN, Mr Albert";0;1;1
1;"FINOLI, Mr Luigi";0;0;1
0;"DEACON, Mr Percy";0;1;1
0;"HOWARD, Mrs Ellen";1;0;1
0;"ANDERSSON, Miss Ida";0;1;1
0;"HEAD, Mr Christopher";0;1;1
0;"MAHON, Miss Bridget";1;0;1
0;"WICK, Mr George";0;1;1
1;"WIDENER, Mrs Eleanor";1;1;
0;"THOMSON, Mr Alexander";0;1;1
1;"DURAN Y MORE, Miss Florentina";1;1;
0;"REYNOLDS, Mr Harold";0;1;1
1;"COOK, Mrs Selena";1;1;
1;"KARLSSON, Mr Einar";0;0;1
1;"CANDEE, Mrs Helen";1;1;
1;"MOUBAREK, Mrs Omine";1;1;
1;"ASPLUND, Mr Johan";0;0;1
0;"MCNEILL, Miss Bridget";1;0;1
0;"EVERETT, Mr Thomas";0;1;1
0;"HOCKING, Mr Samuel";0;1;1
0;"SWEET, Mr George";0;1;1
1;"WILLARD, Miss Constance";1;1;
0;"WIKLUND, Mr Karl";0;1;1
0;"LINEHAN, Mr Michael";0;1;1
0;"CUMINGS, Mr John";0;1;1
0;"VENDEL, Mr Olof";0;1;1
0;"WARREN, Mr Frank";0;1;1
0;"BACCOS, Mr Raffull";0;1;1
0;"HILTUNEN, Miss Marta";1;0;1
1;"DOUGLAS, Mrs Mahala";1;1;
1;"LINDSTROM, Mrs Sigrid";1;1;
1;"CHRISTY, Mrs Alice";1;1;
1;"SPEDDEN, Mr Frederic";0;0;1
1;"HYMAN, Mr Abraham";0;0;1
0;"JOHNSTON, Master William";0;1;1
0;"KENYON, Mr Frederick";0;1;1
0;"KARNES, Mrs Claire";1;0;1
0;"DREW, Mr James";0;1;1
1;"HOLD, Mrs Annie";1;1;
0;"KHALIL, Mrs Zahie";1;0;1
1;"WEST, Miss Barbara";1;1;
1;"ABRAHAMSSON, Mr Abraham";0;0;1
0;"CLARK, Mr Walter";0;1;1
0;"SALANDER, Mr Karl";0;1;1
0;"WENZEL, Mr Linhart";0;1;1
0;"MACKAY, Mr George";0;1;1
0;"MAHON, Mr John";0;1;?
0;"NIKLASSON, Mr Samuel";0;1;1
1;"BENTHAM, Miss Lilian";1;1;
1;"MIDTSJO, Mr Karl";0;1;
1;"DE MESSEMAEKER, Mr Guillaume";0;0;1
0;"NILSSON, Mr August";0;1;
1;"WELLS, Mrs Addie";1;1;
0;"KLASEN, Miss Gertrud";1;0;1
1;"PORTALUPPI, Mr Emilio";0;0;1
0;"LYNTAKOFF, Mr Stanko";0;1;
0;"CHISHOLM, Mr Roderick";0;1;
0;"WARREN, Mr Charles";0;1;
1;"HOWARD, Miss May";1;1;
0;"POKRNIC, Mr Mate";0;1;
0;"MCCAFFRY, Mr Thomas";0;1;
0;"FOX, Mr Patrick";0;1;
1;"CLARK, Mrs Virginia";1;1;
0;"LENNON, Miss Mary";0;1;
0;"SAADE, Mr Jean";0;1;
1;"BRYHL, Miss Dagmar";1;1;
0;"PARKER, Mr Clifford";0;1;
0;"FAUNTHORPE, Mr Harry";0;1;
0;"WARE, Mr John";0;1;
1;"OXENHAM, Mr Percy";0;0;1
0;"ORESKOVIC, Miss Jelka";1;0;1
0;"PEACOCK, Master Alfred";1;0;1
0;"FLEMING, Miss Honora";1;0;1
1;"TOUMA, Miss Maria";1;1;
0;"ROSBLOM, Miss Salli";1;0;1
0;"DENNIS, Mr William";0;1;
0;"FRANKLIN, Mr Charles";0;1;
1;"SNYDER, Mr John";0;0;1
0;"MARDIROSIAN, Mr Sarkis";0;1;
0;"FORD, Mr Arthur";0;1;
1;"RHEIMS, Mr George";0;0;1
1;"DALY, Miss Margaret";1;1;
0;"NASR, Mr Mustafa";0;1;
1;"DODGE, Dr Washington";0;0;1
0;"WITTEVRONGEL, Mr Camille";0;1;
0;"ANGHELOFF, Mr Minko";0;1;
1;"LAROCHE, Miss Louise";1;1;
0;"SAMAAN, Mr Hanna";0;1;
0;"LORING, Mr Joseph";0;1;
0;"JOHANSSON, Mr Nils";0;1;
1;"OLSSON, Mr Oscar";0;0;1
0;"MALACHARD, Mr Noel";0;1;
0;"PHILLIPS, Mr Escott";0;1;
0;"POKRNIC, Mr Tome";0;1;
1;"MCCARTHY, Miss Catherine";1;1;
1;"CROSBY, Mrs Catherine";1;1;
0;"ALLISON, Mr Hudson";0;1;
1;"AKS, Master Philip";1;1;1
0;"HAYS, Mr Charles";0;1;
1;"HANSEN, Mrs Jennie";1;1;
0;"CACIC, Mr Jego";0;1;
1;"VARTANIAN, Mr David";0;0;1
0;"SADOWITZ, Mr Harry";0;1;
0;"CARR, Miss Jeannie";1;0;1
1;"WHITE, Mrs Ella";1;1;
0;"HAGARDON, Miss Kate";1;0;1
0;"SPENCER, Mr William";0;1;
0;"ROGERS, Mr Reginald";0;1;
0;"JONSSON, Mr Nils";0;1;
0;"JEFFERYS, Mr Ernest";0;1;
0;"ANDERSSON, Mr Johan";0;1;
1;"KREKORIAN, Mr Neshan";0;0;1
0;"NESSON, Mr Israel";0;1;
0;"ROWE, Mr Alfred";0;1;
1;"KREUCHEN, Miss Emilie";1;1;
0;"ASSAM, Mr Ali";0;1;
1;"BECKER, Miss Ruth";1;1;
0;"ROSENSHINE, Mr Mr";0;1;
0;"CLARKE, Mr Charles";0;1;
0;"ENANDER, Mr Ingvar";0;1;
1;"DAVIES, Mrs Elizabeth";1;1;
0;"DULLES, Mr William";0;1;
0;"THOMAS, Mr Tannous";0;1;
1;"NAKID, Mrs Waika";1;1;
0;"COR, Mr Ivan";0;1;
0;"MAGUIRE, Mr John";0;1;
0;"DE BRITO, Mr Jose";0;1;
0;"ELIAS, Mr Joseph";0;1;
0;"DENBURY, Mr Herbert";0;1;
0;"BETROS, Master Seman";0;1;
0;"FILLBROOK, Mr Joseph";0;1;
0;"LUNDSTROM, Mr Thure";0;1;
0;"SAGE, Mr John";0;1;
1;"CARDEZA, Mrs Charlotte";1;1;
0;"VAN BILLIARD, Master James";0;1;
1;"ABELSETH, Miss Karen";1;1;
0;"BOTSFORD, Mr William";0;1;
1;"WHABEE, Mrs Shawneene";1;1;
0;"GILES, Mr Ralph";0;1;
1;"WALCROFT, Miss Nellie";1;1;
1;"GREENFIELD, Mrs Blanche";1;1;
0;"STOKES, Mr Philip";0;1;
0;"DIBDEN, Mr William";0;1;
0;"HERMAN, Mr Samuel";0;1;
1;"DEAN, Miss Elizabeth";1;1;
0;"JULIAN, Mr Henry";0;1;
1;"BROWN, Mrs Caroline";1;1;
0;"LOCKYER, Mr Edward";0;1;
0;"O'KEEFE, Mr Patrick";0;1;
0;"LINDELL, Mrs Elin";1;0;1
0;"SAGE, Master William";0;1;
1;"MALLET, Mrs Antoinette";1;1;
1;"WARE, Mrs Florence";1;1;
0;"STRILIC, Mr Ivan";0;1;
1;"HARDER, Mrs Dorothy";1;1;
0;"SAGE, Mrs Annie";0;1;
0;"CARAM, Mr Joseph";0;1;
0;"RIIHIVOURI, Miss Susanna";1;0;1
1;"GIBSON, Mrs Pauline";1;1;
1;"PALLAS Y CASTELLO, Mr Emilio";0;0;1
0;"GILES, Mr Edgar";0;1;
1;"WILSON, Miss Helen";1;1;
1;"ISMAY, Mr Joseph";0;0;1
0;"HARBECK, Mr William";0;1;
1;"DODGE, Mrs Ruth";1;1;
1;"BOWEN, Miss Grace";1;1;
0;"KINK, Miss Maria";0;1;
0;"COTTERILL, Mr Henry";0;1;
0;"HIPKINS, Mr William";0;1;
0;"ASPLUND, Master Carl";0;1;
0;"O'CONNOR, Mr Patrick";0;1;
0;"FOLEY, Mr Joseph";0;1;
0;"RISIEN, Mrs Emma";1;0;1
0;"MCNAMEE, Mrs Eileen";1;0;1
0;"WHEELER, Mr Edwin";0;1;
1;"HERMAN, Miss Kate";1;1;
0;"ARONSSON, Mr Ernst";0;1;
0;"ASHBY, Mr John";0;1;
0;"CANAVAN, Mr Patrick";0;1;
0;"PALSSON, Master Paul";0;1;
0;"PAYNE, Mr Vivian";1;0;1
1;"LINES, Mrs Elizabeth";1;1;
0;"ABBOTT, Master Eugene";0;1;
0;"GILBERT, Mr William";0;1;
0;"KINK-HEILMANN, Mr Anton";0;1;
1;"SMITH, Mrs Mary";1;1;
0;"COLBERT, Mr Patrick";0;1;
1;"FROLICHER-STEHLI, Mrs Margaretha";1;1;
0;"LARSSON-RONDBERG, Mr Edvard";0;1;
0;"CONLON, Mr Thomas";0;1;
1;"BONNELL, Miss Caroline";1;1;
0;"GALE, Mr Harry";0;1;
1;"GIBSON, Miss Dorothy";1;1;
0;"CARRAU, Mr Jose";0;1;
1;"FRAUENTHAL, Mr Isaac";0;0;1
0;"NOURNEY, Mr Baron";0;1;
0;"WARE, Mr William";0;1;
0;"WIDENER, Mr George";0;1;
1;"RIORDAN, Miss Johanna";1;1;
0;"PEACOCK, Miss Treasteall";1;0;1
0;"NAUGHTON, Miss Hannah";1;0;1
1;"MINAHAN, Mrs Lillian";1;1;
0;"HENRIKSSON, Miss Jenny";1;0;1
0;"SPECTOR, Mr Woolf";0;1;
1;"OLIVA Y OCANA, Dona Fermina";1;1;
0;"SAETHER, Mr Simon";0;1;
0;"WARE, Mr Frederick";0;1;
0;"PETER, Master Michael";0;1;
